	total count	max temp	mean temp	min temp	snow on grnd (cm)	total precip (mm)	total rain (mm)	total snow (cm)	class	day	month	year
8385	728	13.0	7.2	1.4	0.0	2.3	2.3	0.0	less than 2000	26	6	2014
19584	1206	23.5	21.3	19.0	0.0	0.0	0.0	0.0	less than 2000	2	1	2015
10197	176	-1.9	-5.8	-9.7	2.0	0.2	0.0	0.2	less than 2000	26	5	2017
4773	53	2.2	-3.9	-10.0	32.0	0.6	0.0	1.0	less than 2000	27	8	2011
12445	1952	31.8	25.3	18.7	0.0	0.0	0.0	0.0	less than 2000	18	7	2018
14481	1	6.0	-1.3	-8.5	4.0	0.0	0.0	0.0	less than 2000	12	3	2016
21468	1638	16.0	10.8	5.5	0.0	0.0	0.0	0.0	less than 2000	30	6	2016
6024	2433	20.7	16.1	11.4	0.0	0.0	0.0	0.0	2000 to 10000	24	4	2018
15549	1580	26.0	21.8	17.5	0.0	4.0	4.0	0.0	less than 2000	8	10	2015
4547	144	-7.5	-10.6	-13.6	0.0	0.0	0.0	0.0	less than 2000	27	3	2015
3979	1875	29.5	20.8	12.0	0.0	0.0	0.0	0.0	less than 2000	21	4	2013
9920	1402	19.8	18.2	16.5	0.0	10.0	10.0	0.0	less than 2000	5	6	2011
7281	289	-1.7	-5.9	-10.0	15.0	1.0	0.0	0.8	less than 2000	1	9	2010
867	2	-2.7	-4.5	-6.3	6.0	0.0	0.0	0.0	less than 2000	11	7	2012
573	1369	25.1	19.3	13.4	0.0	0.0	0.0	0.0	less than 2000	20	10	2013
5803	1164	23.5	19.3	15.0	0.0	0.0	0.0	0.0	less than 2000	11	9	2013
11700	586	23.4	18.9	14.3	0.0	30.3	30.3	0.0	less than 2000	18	8	2010
5455	2958	27.5	18.8	10.0	0.0	0.0	0.0	0.0	2000 to 10000	3	7	2018
16277	822	17.5	14.5	11.5	0.0	1.4	1.4	0.0	less than 2000	9	7	2014
11992	1262	25.4	17.7	10.0	0.0	0.0	0.0	0.0	less than 2000	20	5	2017
18380	66	1.0	-2.8	-6.5	20.0	2.0	2.0	0.0	less than 2000	2	4	2015
4691	21	0.3	-9.8	-19.9	43.0	0.0	0.0	0.0	less than 2000	28	2	2017
12508	2621	24.7	20.1	15.5	0.0	2.0	2.0	0.0	2000 to 10000	9	6	2017
1076	112	4.5	-1.5	-7.4	0.0	1.6	0.0	1.6	less than 2000	9	12	2010
8534	565	21.3	15.9	10.4	0.0	0.4	0.4	0.0	less than 2000	24	1	2010
14818	1483	13.0	6.0	-1.0	0.0	0.0	0.0	0.0	less than 2000	13	8	2014
57	0	-1.9	-8.2	-14.4	17.0	0.0	0.0	0.0	less than 2000	3	6	2013
12583	2418	27.9	22.2	16.4	0.0	6.0	6.0	0.0	2000 to 10000	9	4	2013
83	0	-7.0	-10.3	-13.5	8.0	0.0	0.0	0.0	less than 2000	18	2	2017
2605	36	-1.1	-7.7	-14.2	18.0	10.0	9.0	1.0	less than 2000	28	10	2013
7335	377	-3.0	-5.0	-7.0	4.0	0.0	0.0	0.0	less than 2000	5	5	2016
20437	224	3.0	1.3	-0.5	0.0	0.0	0.0	0.0	less than 2000	19	9	2018
1898	2568	25.4	20.1	14.8	0.0	0.0	0.0	0.0	2000 to 10000	23	11	2016
19434	2603	29.0	21.5	14.0	0.0	0.0	0.0	0.0	2000 to 10000	24	10	2011
19739	1636	16.5	13.5	10.5	0.0	1.2	1.2	0.0	less than 2000	10	9	2016
21686	414	18.5	14.8	11.0	0.0	2.2	2.2	0.0	less than 2000	31	3	2018
9799	652	19.2	15.1	11.0	0.0	0.0	0.0	0.0	less than 2000	19	3	2011
7320	0	7.2	3.3	-0.6	13.0	0.2	0.2	0.0	less than 2000	29	9	2013
14828	1445	16.5	8.3	0.0	0.0	0.0	0.0	0.0	less than 2000	22	10	2017
5871	269	29.5	24.0	18.4	0.0	0.6	0.6	0.0	less than 2000	9	5	2011
19594	2222	28.0	22.3	16.5	0.0	9.6	9.6	0.0	2000 to 10000	7	3	2018
18558	589	8.5	7.0	5.5	0.0	0.0	0.0	0.0	less than 2000	4	7	2014
2819	69	-3.6	-8.1	-12.6	24.0	2.6	0.0	5.0	less than 2000	2	11	2018
